event_id,event_date,event_time_precision,platform,platform_region,poll_region_alignment,diffusion_class,character_cn,character_jp,event_type,community_layer,poll_round_before,poll_round_after,phase,source_url,source_title_or_excerpt,metric_snapshot,observed_at,interpretation,causal_limit,verification_status
jmpd_r4_aya,2005-12-28,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,射命丸文,射命丸 文,result_interpretation,analysis,4,5,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-358.html,第4回新角色文第8位；作者预测《文花帖》后续可能继续提高其人气,个人赛后观察；无互动量快照,2026-08-24,文花帖预期被写成赛后解释与预测，不能视为后来上升的唯一原因,预测与因果均未被该文单独验证,verified_public_web
jmpd_r4_komachi,2005-12-28,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,小野塚小町,小野塚 小町,result_interpretation,analysis,4,5,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-358.html,第4回新角色小町第23位；作者认为名次偏低,个人赛后观察；无互动量快照,2026-08-24,记录作者对小町名次的主观惊讶,单篇博客且没有投票者调查或曝光量数据,verified_public_web
jmpd_r4_eiki,2005-12-28,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,四季映姬·夜摩仙那度,四季映姫・ヤマザナドゥ,result_table_mention,analysis,4,5,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-358.html,第4回新角色映姬第25位，列入新角色名次观察,个人赛后观察；无互动量快照,2026-08-24,仅表示作者将映姬纳入新角色结果表的讨论,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r4_medicine,2005-12-28,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,梅蒂欣·梅兰可莉,メディスン・メランコリー,result_table_mention,analysis,4,5,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-358.html,第4回新角色梅蒂欣第34位，列入新角色名次观察,个人赛后观察；无互动量快照,2026-08-24,仅表示作者将梅蒂欣纳入新角色结果表的讨论,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_reimu,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,博丽灵梦,博麗 霊夢,result_interpretation,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回按作品拆分分析：灵梦与魔理沙为主人公组，灵梦摆脱“拿不到第一”的形象,个人赛后观察；无互动量快照,2026-08-24,文章把主人公组的名次变化与长期印象并置,单篇博客为事后观察，未控制投票者构成与其他曝光,verified_public_web
jmpd_r5_marisa,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,雾雨魔理沙,霧雨 魔理沙,result_interpretation,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回按作品拆分分析：魔理沙仍保持强势,个人赛后观察；无互动量快照,2026-08-24,作者把魔理沙视为主人公组的持续高位基线,单篇博客为事后观察，未控制投票者构成与其他曝光,verified_public_web
jmpd_r5_sakuya,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,十六夜咲夜,十六夜 咲夜,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回红魔乡组表格列出咲夜并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示红魔乡组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_remilia,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,蕾米莉亚·斯卡蕾特,レミリア・スカーレット,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回红魔乡组表格列出蕾米莉亚并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示红魔乡组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_flandre,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,芙兰朵露·斯卡蕾特,フランドール・スカーレット,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回红魔乡组表格列出芙兰朵露并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示红魔乡组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_patchouli,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,帕秋莉·诺蕾姬,パチュリー・ノーレッジ,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回红魔乡组表格列出帕秋莉并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示红魔乡组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_cirno,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,琪露诺,チルノ,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回红魔乡组表格列出琪露诺并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示红魔乡组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_meiling,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,红美铃,紅 美鈴,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回红魔乡组表格列出美铃并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示红魔乡组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_rumia,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,露米娅,ルーミア,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回红魔乡组表格列出露米娅并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示红魔乡组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_little_devil,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,小恶魔,小悪魔,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回红魔乡组表格列出小恶魔并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示红魔乡组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_daiyousei,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,大妖精,大妖精,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回红魔乡组表格列出大妖精并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示红魔乡组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_yuyuko,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,西行寺幽幽子,西行寺 幽々子,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回妖々梦组表格列出幽幽子并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示妖々梦组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_yukari,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,八云紫,八雲 紫,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回妖々梦组表格列出紫并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示妖々梦组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_alice,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,爱丽丝·玛格特洛依德,アリス・マーガトロイド,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回妖々梦组表格列出爱丽丝并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示妖々梦组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_youmu,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,魂魄妖梦,魂魄 妖夢,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回妖々梦组表格列出妖梦并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示妖々梦组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_layti,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,蕾蒂·霍瓦特洛克,レティ・ホワイトロック,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回妖々梦组表格列出蕾蒂并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示妖々梦组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_lilywhite,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,莉莉霍瓦特（莉莉白）,リリーホワイト,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回妖々梦组表格列出莉莉白并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示妖々梦组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_lunasa,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,露娜萨·普莉兹姆利巴,ルナサ・プリズムリバー,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回妖々梦组表格列出露娜萨并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示妖々梦组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_merlin,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,梅露兰·普莉兹姆利巴,メルラン・プリズムリバー,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回妖々梦组表格列出梅露兰并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示妖々梦组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_lilica,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,莉莉卡·普莉兹姆利巴,リリカ・プリズムリバー,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回妖々梦组表格列出莉莉卡并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示妖々梦组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_suika,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,伊吹萃香,伊吹 萃香,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回萃梦想组表格列出萃香并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示萃梦想组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_mokou,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,藤原妹红,藤原 妹紅,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回永夜抄组表格列出妹红并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示永夜抄组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_keine,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,上白泽慧音,上白沢 慧音,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回永夜抄组表格列出慧音并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示永夜抄组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_reisen,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,铃仙·优昙华院·因幡,鈴仙・優曇華院・イナバ,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回永夜抄组表格列出铃仙并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示永夜抄组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_kaguya,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,蓬莱山辉夜,蓬莱山 輝夜,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回永夜抄组表格列出辉夜并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示永夜抄组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_eirin,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,八意永琳,八意 永琳,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回永夜抄组表格列出永琳并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示永夜抄组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_mystia,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,米斯蒂娅·萝蕾拉,ミスティア・ローレライ,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回永夜抄组表格列出米斯蒂娅并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示永夜抄组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_tewi,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,因幡天为（因幡帝）,因幡 てゐ,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回永夜抄组表格列出因幡帝并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示永夜抄组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_riggle,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,莉格露·奈特巴格,リグル・ナイトバグ,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回永夜抄组表格列出莉格露并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示永夜抄组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_aya,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,射命丸文,射命丸 文,result_interpretation,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回花映塚组表格列出文并讨论其新角色时代的高位,个人赛后观察；无互动量快照,2026-08-24,文是作者按作品拆分分析中明确讨论的花映塚高位角色,单篇博客为事后观察，不能证明后续名次由该文所述因素造成,verified_public_web
jmpd_r5_eiki,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,四季映姬·夜摩仙那度,四季映姫・ヤマザナドゥ,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回花映塚组表格列出映姬并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示花映塚组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_yuuka,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,风见幽香,風見 幽香,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回花映塚组表格列出幽香并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示花映塚组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_komachi,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,小野塚小町,小野塚 小町,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回花映塚组表格列出小町并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示花映塚组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_medicine,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,梅蒂欣·梅兰可莉,メディスン・メランコリー,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回花映塚组表格列出梅蒂欣并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示花映塚组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_sanae,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,东风谷早苗,東風谷 早苗,result_interpretation,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回风神录组表格列出早苗并讨论新作角色组内表现,个人赛后观察；无互动量快照,2026-08-24,文章将早苗作为风神录新作组的核心角色观察,单篇博客为事后观察，不能证明新作出场以外的独立因果,verified_public_web
jmpd_r5_suwako,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,洩矢诹访子,洩矢 諏訪子,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回风神录组表格列出诹访子并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示风神录组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_hina,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,键山雏,鍵山 雛,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回风神录组表格列出雏并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示风神录组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_nitori,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,河城荷取,河城 にとり,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回风神录组表格列出荷取并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示风神录组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_momiji,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,犬走椛,犬走 椛,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回风神录组表格列出椛并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示风神录组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_kanako,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,八坂神奈子,八坂 神奈子,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回风神录组表格列出神奈子并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示风神录组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_shizuha,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,秋静叶,秋 静葉,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回风神录组表格列出静叶并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示风神录组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_minoriko,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,秋穰子,秋 穣子,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回风神录组表格列出穰子并比较组内名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示风神录组角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_rinnosuke,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,森近霖之助,森近 霖之助,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回书籍/音乐CD组表格列出霖之助并比较出版物角色名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示出版物角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_akyuu,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,稗田阿求,稗田 阿求,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回书籍/音乐CD组表格列出阿求并比较出版物角色名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示出版物角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_renko,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,宇佐见莲子,宇佐見 蓮子,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回书籍/音乐CD组表格列出莲子并比较秘封角色名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示秘封角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
jmpd_r5_merry,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,玛艾露贝莉·赫恩,マエリベリー・ハーン,result_table_mention,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回书籍/音乐CD组表格列出梅莉并比较秘封角色名次,按作品拆分的赛后结果表；无互动量快照,2026-08-24,仅表示秘封角色被纳入作者的排名观察,表格出现不等于角色机制或投票动员证据,verified_public_web
nix_r6_sanae,2009-01-31,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,东风谷早苗,東風谷 早苗,result_interpretation,analysis,6,7,post_result,https://nix-in-desertis.blog.jp/archives/51569916.html,第6回分析：早苗大幅上升,个人赛后观察；无互动量快照,2026-08-24,作者把早苗列为本届最明显的上升角色之一,单篇博客为事后观察，不能证明上升由单一曝光造成,verified_public_web
nix_r6_yuuka,2009-01-31,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,风见幽香,風見 幽香,result_interpretation,analysis,6,7,post_result,https://nix-in-desertis.blog.jp/archives/51569916.html,第6回分析：幽香大幅上升,个人赛后观察；无互动量快照,2026-08-24,作者把幽香列为上升幅度显著的角色,单篇博客为事后观察，不能证明二创、原作或投票结构的独立贡献,verified_public_web
nix_r6_mokou,2009-01-31,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,藤原妹红,藤原 妹紅,result_interpretation,analysis,6,7,post_result,https://nix-in-desertis.blog.jp/archives/51569916.html,第6回分析：妹红大幅上升,个人赛后观察；无互动量快照,2026-08-24,作者把妹红列为上升幅度显著的角色,单篇博客为事后观察，不能证明上升由单一曝光造成,verified_public_web
nix_r6_aya,2009-01-31,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,射命丸文,射命丸 文,result_interpretation,analysis,6,7,post_result,https://nix-in-desertis.blog.jp/archives/51569916.html,第6回分析：文名次明显下降，作者联系角色池扩大与一押率特点,个人赛后观察；无互动量快照,2026-08-24,这是对下降的结构性解释，保留角色池变化和一押率两个候选机制,单篇博客与事后解释不能区分各机制的实际贡献,verified_public_web
nix_r6_yuyuko,2009-01-31,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,西行寺幽幽子,西行寺 幽々子,result_interpretation,analysis,6,7,post_result,https://nix-in-desertis.blog.jp/archives/51569916.html,第6回分析：幽幽子下降被解释为角色数量增加造成的自然下降,个人赛后观察；无互动量快照,2026-08-24,作者将幽々子与角色池扩张联系为描述性解释,不能从单篇文章识别候选池扩张的独立因果效应,verified_public_web
nix_r6_alice,2009-01-31,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,爱丽丝·玛格特洛依德,アリス・マーガトロイド,result_interpretation,analysis,6,7,post_result,https://nix-in-desertis.blog.jp/archives/51569916.html,第6回分析：爱丽丝下降被解释为角色数量增加造成的自然下降,个人赛后观察；无互动量快照,2026-08-24,作者把爱丽丝作为角色池扩张后的自然回落例子,不能从单篇文章识别候选池扩张的独立因果效应,verified_public_web
nix_r6_remilia,2009-01-31,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,蕾米莉亚·斯卡蕾特,レミリア・スカーレット,result_interpretation,analysis,6,7,post_result,https://nix-in-desertis.blog.jp/archives/51569916.html,第6回分析：蕾米莉亚基本维持，作者联系《绯想天》出场,个人赛后观察；无互动量快照,2026-08-24,社区分析把格斗作出场作为维持高位的可能解释,属于事后观察且未有曝光量或反事实对照,verified_public_web
nix_r6_yukari,2009-01-31,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,八云紫,八雲 紫,result_interpretation,analysis,6,7,post_result,https://nix-in-desertis.blog.jp/archives/51569916.html,第6回分析：八云紫基本维持，作者联系《绯想天》出场,个人赛后观察；无互动量快照,2026-08-24,社区分析把格斗作出场作为维持高位的可能解释,属于事后观察且未有曝光量或反事实对照,verified_public_web
nix_r6_eirin,2009-01-31,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,八意永琳,八意 永琳,result_interpretation,analysis,6,7,post_result,https://nix-in-desertis.blog.jp/archives/51569916.html,第6回分析：永琳与永远亭组整体下降,个人赛后观察；无互动量快照,2026-08-24,作者将永远亭组作为群体下降现象观察,群体解释不能拆成单角色票数或因果贡献,verified_public_web
nix_r6_reisen,2009-01-31,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,铃仙·优昙华院·因幡,鈴仙・優曇華院・イナバ,result_interpretation,analysis,6,7,post_result,https://nix-in-desertis.blog.jp/archives/51569916.html,第6回分析：铃仙随永远亭组整体下降,个人赛后观察；无互动量快照,2026-08-24,铃仙被放在永远亭组的共同趋势中讨论,群体解释不能拆成单角色票数或因果贡献,verified_public_web
nix_r6_suwako,2009-01-31,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,洩矢诹访子,洩矢 諏訪子,result_interpretation,analysis,6,7,post_result,https://nix-in-desertis.blog.jp/archives/51569916.html,第6回分析：诹访子未如预期上升,个人赛后观察；无互动量快照,2026-08-24,记录作者对风神录角色表现与预期不符的观察,预期是个人基准，不能代表社区总体预期,verified_public_web
nix_r6_nitori,2009-01-31,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,河城荷取,河城 にとり,result_interpretation,analysis,6,7,post_result,https://nix-in-desertis.blog.jp/archives/51569916.html,第6回分析：荷取未如预期上升,个人赛后观察；无互动量快照,2026-08-24,记录作者对风神录角色表现与预期不符的观察,预期是个人基准，不能代表社区总体预期,verified_public_web
nix_r6_kanako,2009-01-31,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,八坂神奈子,八坂 神奈子,result_interpretation,analysis,6,7,post_result,https://nix-in-desertis.blog.jp/archives/51569916.html,第6回分析：神奈子基本维持,个人赛后观察；无互动量快照,2026-08-24,神奈子被列为风神录组中相对稳定者,单篇博客无法识别稳定的投票者构成或曝光原因,verified_public_web
